"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","OILIMPPRICE","TOT","USD_BAR","A","1980",33.66,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","1981",37.8,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","1982",33.49,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","1983",30.66,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","1984",29.66,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","1985",28.74,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","1986",16.28,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","1987",18.81,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","1988",16.21,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","1989",19.1,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","1990",24.58,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","1991",22.55,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","1992",20.35,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","1993",18.02,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","1994",16.99,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","1995",18.78,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","1996",22.06,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","1997",21.31,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","1998",14.34,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","1999",17.54,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2000",29.39,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2001",25.32,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2002",24.64,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2003",29.59,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2004",38.21,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2005",53.15,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2006",64.44,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2007",71.86,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2008",103.05,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2009",60.69,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2010",80,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2011",110.92,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2012",112.5,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2013",110.63,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2014",103.81,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2015",55.52,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2016",42.89,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2017",54.73,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2018",71.12,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2019",64.52,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2020",43.67,
